"cod_ibge","ivs_renda_e_trabalho_quartile","renda_per_capita_quartile","i_gini_quartile","t_analf_15m_quartile","ivs_capital_humano_quartile","t_sem_agua_esgoto_quartile","t_sem_lixo_quartile"
"352585",1,3,1,2,2,1,3
"352590",1,4,4,1,1,3,2
"352600",3,3,2,3,1,2,2
"352610",4,1,4,4,4,4,4
"352620",4,1,4,4,4,4,4
"352630",4,1,3,4,4,4,4
"352640",1,3,2,1,2,1,4
"352650",4,2,1,3,1,4,2
"352660",4,1,4,2,4,3,4
"352670",1,3,3,2,3,2,3
"352680",1,4,2,1,1,2,2
"352690",1,4,3,1,1,3,3
"352700",1,3,1,2,2,3,4
"352710",1,4,3,1,1,3,2
"352720",4,3,4,1,2,3,3
"352725",3,2,1,4,1,1,3
"352730",1,4,4,1,1,4,3
"352740",3,3,3,2,1,3,3
"352750",2,3,4,3,2,2,1
"352760",4,2,2,2,3,1,3
"352770",1,1,1,4,4,3,1
"352780",3,1,1,4,4,2,4
"352790",4,1,2,3,3,2,4
"352800",1,4,4,3,2,2,1
"352810",3,3,2,3,1,1,3
"352820",3,2,2,4,1,2,3
"352830",2,3,2,4,2,1,1
"352840",3,3,2,1,3,4,3
"352850",1,4,4,1,1,4,4
"352860",4,3,3,2,2,1,1
"352870",4,1,1,4,4,3,4
"352880",3,2,2,3,2,1,3
"352885",1,3,1,2,1,1,2
"352890",1,1,1,3,3,4,1
"352900",2,4,4,1,1,2,3
"352910",1,1,2,4,1,1,1
"352920",3,2,3,3,3,3,2
"352930",1,4,4,2,2,1,3
"352940",3,3,2,1,2,3,2
"352950",1,3,1,2,1,2,3
"352960",4,3,1,3,1,2,3
"352965",2,1,1,4,3,1,3
"352970",4,2,3,4,3,3,3
"352980",1,3,1,2,2,1,4
"353000",3,2,2,4,2,1,1
"352990",4,1,4,4,4,4,4
"353010",3,3,3,2,2,4,4
"353020",4,1,4,4,3,4,3
"353030",2,4,2,1,2,1,3
"353040",3,2,1,3,3,1,3
"353050",2,4,4,2,1,1,4
"353060",3,4,4,1,2,4,4
"353070",2,4,2,1,1,2,2
"353080",2,4,4,1,1,1,3
"353090",4,4,4,3,4,1,1
"353100",3,3,2,3,1,1,4
"353110",4,3,4,1,3,4,4
"353120",1,4,3,2,1,2,4
"353130",1,4,2,1,1,2,4
"353140",1,4,4,2,2,1,1
"353150",3,3,3,3,1,1,4
"353160",4,2,1,4,2,1,2
"353180",3,2,2,2,3,4,4
"353170",4,2,3,4,4,4,1
"353190",2,3,3,3,4,2,3
"353200",1,3,2,2,2,3,3
"353205",4,1,3,2,4,3,1
"353210",3,2,2,3,3,4,3
"353215",2,1,1,4,4,1,1
"353220",4,1,1,4,3,2,1
"353230",4,1,4,4,4,4,3
"353240",4,1,3,4,4,4,4
"353250",1,3,1,2,1,1,2
"353260",2,4,4,2,1,1,2
"353270",4,2,1,3,2,1,2
"353280",2,2,1,2,2,1,2
"353282",4,1,3,4,4,4,4
"353284",4,1,1,4,1,3,4
"353286",1,2,1,3,1,1,4
"353290",1,3,1,2,3,1,1
"353300",2,3,2,2,2,4,2
"353310",4,2,2,4,2,1,1
"353320",1,1,1,3,1,3,1
"353330",2,2,1,4,2,1,1
"353340",1,4,2,1,1,2,3
"353325",2,2,3,4,4,2,3
"353350",1,4,3,3,2,3,3
"353360",2,3,3,1,2,2,2
"353370",3,1,1,3,4,2,3
"353380",4,2,2,2,2,3,1
"353390",1,3,2,1,2,1,3
"353400",2,2,1,3,1,3,1
"353410",3,3,2,2,2,1,1
"353420",1,3,1,2,1,1,1
"353430",2,4,4,1,1,1,1
"353440",2,4,4,1,2,4,4
"353450",3,2,3,4,1,1,3
"353460",2,3,3,2,2,2,2
"353470",2,4,4,1,1,3,3
"353480",4,1,1,4,4,3,4
"353475",3,3,2,3,1,2,2
"353490",3,3,3,4,3,3,2
"353500",3,3,1,3,4,2,3
"353510",1,2,1,4,3,1,4
"353520",2,3,2,3,1,2,3
"353530",2,3,2,2,1,3,2
"353540",4,3,4,3,4,3,4
"353550",2,3,3,2,2,2,4
"353560",4,2,4,3,3,4,1
"353570",1,4,3,3,2,1,1
"353580",3,2,3,3,3,4,4
"353590",3,2,3,4,1,1,2
"353600",3,2,2,3,3,3,2
"353610",2,3,3,3,3,2,4
"353620",4,1,3,2,4,4,4
"353625",1,3,1,4,3,3,2
"353630",3,2,2,2,4,2,2
"353640",4,2,2,4,4,2,4
"353650",1,4,3,1,1,3,4
"353657",2,1,2,4,3,2,4
"353660",4,3,4,4,3,3,1
"353670",3,3,4,2,3,4,4
"353680",3,1,2,4,4,4,1
"353690",4,2,1,4,2,3,1
"353700",2,3,4,2,3,4,3
"353710",1,4,2,1,1,1,3
"353715",1,4,4,2,1,3,4
"353720",4,1,3,4,4,3,4
"353730",2,4,3,1,2,2,2
"353740",4,3,3,3,2,2,4
"353750",3,3,2,2,3,3,4
"353760",4,3,4,2,3,4,4
"353770",3,1,1,4,4,2,1
"353780",4,2,3,3,4,4,3
"353790",4,1,2,2,4,3,1
"353800",3,4,4,1,1,3,4
"353810",2,3,1,3,3,2,3
"353820",2,2,2,3,3,4,2
"353830",4,1,2,4,4,4,1
"353850",4,2,4,1,2,3,2
"353860",4,4,4,3,3,4,4
"353870",1,4,4,1,2,3,2
"353880",2,4,3,2,2,1,2
"353890",2,3,3,3,2,2,4
"353900",2,3,1,3,2,1,1
"353910",4,1,3,2,3,4,4
"353920",3,3,4,2,2,3,4
"353930",1,4,4,1,1,2,3
"353940",1,4,3,2,1,2,4
"353950",3,2,2,3,4,3,3
"353960",3,1,1,4,3,2,1
"353970",4,2,4,4,4,3,1
"353980",3,2,2,1,2,2,2
"353990",2,3,1,3,1,1,3
"354000",1,4,3,1,1,1,3
"354010",2,3,3,3,1,3,3
"354020",2,3,2,4,4,1,2
"354025",3,1,1,4,4,3,1
"354030",1,2,1,4,3,1,1
"354040",3,2,2,4,4,4,1
"354050",4,2,3,2,4,4,3
"354060",1,3,3,1,1,3,2
"354070",2,3,3,1,2,2,3
"354075",4,1,1,1,3,1,3
"354080",1,3,1,2,2,2,1
"354085",4,1,1,4,1,1,1
"354090",2,3,3,3,2,4,1
"354100",3,4,4,1,3,2,3
"354105",1,1,1,2,4,1,1
"354110",4,2,3,4,4,2,1
"354120",4,3,3,3,2,3,3
"354130",4,2,3,2,2,3,4
"354140",1,4,4,1,1,2,4
"354150",3,4,4,2,1,3,3
"354160",3,3,2,2,3,3,4
"354165",3,2,4,3,3,3,1
"354170",3,2,2,3,3,4,3
"354180",4,1,2,4,3,1,1
"354190",4,1,3,2,4,3,4
"354200",4,1,2,3,2,2,2
"354210",1,3,1,1,2,1,1
"354220",3,3,3,2,3,3,3
"354230",4,1,3,4,4,4,4
"354240",2,3,3,2,1,1,3
"354250",2,2,2,3,3,1,1
"354260",4,3,4,2,3,4,4
"354270",3,1,1,3,4,3,2
"354280",4,1,3,4,4,4,1
"354290",3,2,3,4,3,3,3
"354300",4,1,3,4,4,4,4
"354310",3,1,2,4,4,1,1
"354320",2,4,4,2,2,3,1
"354323",4,1,1,4,2,2,2
"354325",4,1,2,4,3,4,1
"354330",3,4,2,1,1,4,4
"354340",1,4,4,1,1,3,2
"354360",3,2,3,2,4,1,3
"354370",2,2,2,3,2,1,4
"354380",3,2,2,4,4,4,3
"354390",1,4,4,1,1,2,2
"354400",2,4,3,2,1,1,4
"354410",4,1,1,1,2,3,4
"354420",4,1,1,4,4,3,2
"354350",4,1,4,4,4,3,3
"354425",4,4,4,2,3,4,4
"354430",3,2,2,1,3,3,3
"354440",2,1,1,4,2,1,3
"354450",2,2,1,2,1,4,1
"354460",3,2,2,3,2,3,1
"354470",2,2,3,4,1,1,1
"354480",3,2,2,4,3,2,4
"354490",3,3,2,1,2,1,2
"354500",4,1,2,3,3,3,2
"354510",3,1,1,4,4,3,3
"354515",1,4,1,1,1,3,2
"354520",1,4,3,1,1,3,4
"354530",4,2,2,3,3,4,2
"354540",4,1,2,4,4,4,3
"354550",4,1,2,4,3,3,1
"354560",1,4,2,3,1,4,4
"354570",2,3,2,4,2,1,1
"354580",1,4,2,1,1,2,2
"354600",3,2,3,2,3,4,4
"354610",1,2,3,4,1,1,1
"354620",1,4,4,1,2,1,1
"354625",4,3,4,1,3,3,3
"354630",1,4,4,3,4,1,1
"354640",2,4,3,1,2,2,3
"354650",2,3,2,2,1,1,1
"354660",2,4,4,2,1,1,1
"354670",1,3,1,1,3,1,3
"354680",4,2,3,2,3,4,3
"354690",2,2,1,3,3,2,1
"354700",4,1,3,3,4,1,1
"354710",4,1,1,4,2,1,4
"354750",2,4,3,1,1,3,3
"354740",1,2,1,4,1,1,1
"354760",4,4,4,1,1,1,1
"354765",4,2,1,2,1,1,1
"354720",1,4,2,3,1,1,1
"354730",2,4,4,1,2,4,3
"354770",4,3,4,2,2,1,4
"354780",2,4,4,1,1,3,2
"354790",1,1,2,2,3,2,1
"354800",2,3,2,3,4,1,2
"354805",2,2,2,4,1,3,1
"354810",3,2,2,3,2,1,1
"354820",3,1,3,3,4,3,3
"354830",4,1,2,4,2,4,3
"354840",2,1,1,3,2,2,2
"354850",1,4,4,1,1,2,2
"354860",4,3,4,3,4,1,4
"354870",1,4,4,1,1,3,2
"354880",1,4,4,1,1,1,1
"354890",1,4,4,1,1,2,2
"354900",2,2,3,4,3,1,1
"354910",1,4,4,1,1,2,4
"354920",1,1,1,4,1,1,1
"354925",2,1,1,4,1,1,1
"354930",1,2,1,4,1,1,1
"354940",2,4,2,1,1,2,2
"354950",3,1,3,4,4,2,4
"354960",4,1,4,4,4,3,3
"354970",2,4,4,1,2,2,3
"354980",1,4,4,1,1,2,2
