"cod_ibge","pct_branca","pct_preta","pct_amarela","pct_parda","pct_indigena","Branca_Q","Preta_Q","Amarela_Q","Parda_Q","Indigena_Q","pct_other","Other_Q"
"353150",70.57,4.43,0.1,24.88,0.01,4,2,1,1,1,4.54,1
"353160",61.35,5.68,0.38,32.59,NA,3,3,3,2,NA,NA,NA
"353170",65.1,5.99,0.39,28.47,0.05,3,3,3,2,2,6.43,3
"353180",48.91,8.26,0.23,42.53,0.07,1,4,2,4,3,8.56,4
"353190",45.53,8.82,0.52,45.12,0.02,1,4,3,4,1,9.36,4
"353200",60.82,5.27,0.36,33.49,0.06,2,2,2,3,2,5.69,2
"353205",51.91,9.49,0.1,38.42,0.07,1,4,1,3,3,9.66,4
"353210",60.74,4.79,1.07,33.32,0.08,2,2,4,3,3,5.94,2
"353215",45.45,7.71,0.34,46.47,0.04,1,4,2,4,2,8.09,4
"353220",42.01,6.69,0.84,50.45,0.02,1,3,4,4,1,7.55,3
"353230",68.84,3.61,0.2,27.29,0.06,4,1,2,1,2,3.87,1
"353240",64.01,4.84,0.38,30.69,0.07,3,2,3,2,3,5.29,2
"353250",70.72,5.32,0.1,23.83,0.03,4,2,1,1,1,5.45,2
"353260",70.77,3.98,0.13,25.1,0.02,4,1,1,1,1,4.13,1
"353270",55.37,5.75,0.11,38.72,0.06,2,3,1,3,2,5.92,2
"353280",67.55,6.77,0.24,25.28,0.16,4,3,2,1,4,7.17,3
"353282",64.61,3.24,0.15,31.94,0.06,3,1,1,2,2,3.45,1
"353284",61.91,5.36,0.34,32.38,NA,3,2,2,2,NA,NA,NA
"353286",64.03,1.88,0.19,33.9,NA,3,1,1,3,NA,NA,NA
"353290",52.77,7.97,0.55,38.67,0.04,2,4,3,3,2,8.56,4
"353300",58.45,6.97,0.19,34.27,0.12,2,4,1,3,4,7.28,3
"353310",65.45,6.45,0.51,27.6,NA,3,3,3,1,NA,NA,NA
"353320",45.95,7.33,0.17,46.52,0.02,1,4,1,4,1,7.52,3
"353325",48.21,9.22,0.23,42.34,NA,1,4,2,4,NA,NA,NA
"353330",54.64,6.59,0.25,38.53,NA,2,3,2,3,NA,NA,NA
"353340",65.43,5.92,0.33,28.22,0.1,3,3,2,2,3,6.35,3
"353350",69.43,4.18,0.28,26.04,0.07,4,1,2,1,3,4.53,1
"353360",68,5.59,0.12,26.15,0.14,4,2,1,1,4,5.85,2
"353370",58.99,5.15,0.32,35.53,NA,2,2,2,3,NA,NA,NA
"353380",72.97,3.42,0.08,23.49,0.04,4,1,1,1,2,3.54,1
"353390",64.7,5.98,0.33,28.94,0.04,3,3,2,2,2,6.35,3
"353400",54.18,8.61,0.65,36.2,0.36,2,4,3,3,4,9.62,4
"353410",53.97,7.69,0.58,37.77,NA,2,4,3,3,NA,NA,NA
"353420",51.18,7.52,0.81,40.49,NA,1,4,4,4,NA,NA,NA
"353430",57.16,7.07,0.2,35.53,0.04,2,4,2,3,2,7.31,3
"353440",51.83,9.53,0.8,37.76,0.07,1,4,4,3,3,10.4,4
"353450",64.62,3.08,2.71,29.43,0.16,3,1,4,2,4,5.95,2
"353460",61.32,4.19,1.6,32.84,0.04,3,1,4,3,2,5.83,2
"353470",67.46,5.48,1.18,25.78,0.09,4,2,4,1,3,6.75,3
"353475",58.48,5.38,1.03,35.1,0.01,2,2,4,3,1,6.42,3
"353480",44.9,6.4,0.27,48.3,0.13,1,3,2,4,4,6.8,3
"353490",45.24,6.42,2.33,45.93,0.08,1,3,4,4,3,8.83,4
"353500",58.3,5.65,0.2,35.78,0.08,2,3,2,3,3,5.93,2
"353510",48.85,9.42,0.12,41.51,0.09,1,4,1,4,3,9.63,4
"353520",65.87,4.48,1.82,27.81,0.01,3,2,4,2,1,6.31,2
"353530",75.51,3.58,0.15,20.71,0.05,4,1,1,1,2,3.78,1
"353540",51.9,4.7,0.45,42.95,NA,1,2,3,4,NA,NA,NA
"353550",57.23,5.05,0.72,36.89,0.11,2,2,3,3,4,5.88,2
"353560",67.11,3.45,0.27,29.06,0.11,4,1,2,2,4,3.83,1
"353570",71.04,5.28,0.26,23.2,0.21,4,2,2,1,4,5.75,2
"353580",66.39,3.27,0.24,30.05,0.05,3,1,2,2,2,3.56,1
"353590",54.53,5.88,2.65,36.94,NA,2,3,4,3,NA,NA,NA
"353600",55.17,4.57,1.56,38.56,0.13,2,2,4,3,4,6.26,2
"353610",65.72,5.58,0.29,28.38,0.03,3,2,2,2,1,5.9,2
"353620",52.32,5.29,0.79,40.84,0.77,1,2,4,4,4,6.85,3
"353625",64.18,3.11,0.03,32.64,0.03,3,1,1,2,1,3.17,1
