cod_ibge,nome_municipio,n_years,hosp_0_14_total,poison_0_14_total,hosp_pest_0_14_total,poison_pest_0_14_total,pop_0_14_person_years,pop_0_14_mean_annual,pop_0_14_2024,hosp_rate_0_14_per100k_yr,poison_rate_0_14_per100k_yr,hosp_pest_rate_0_14_per100k_yr,poison_pest_rate_0_14_per100k_yr
355280,Taboão da Serra,11,94,648,0,29,655157,59560,55584,14.35,98.91,0,4.43
352250,Itapevi,11,50,303,1,22,629561,57233,55186,7.94,48.13,0.16,3.49
352690,Limeira,11,87,685,0,42,617951,56177,53082,14.08,110.85,0,6.8
351907,Hortolândia,11,53,753,0,41,550058,50005,50458,9.64,136.89,0,7.45
352440,Jacareí,11,46,508,0,26,545390,49581,48009,8.43,93.14,0,4.77
352050,Indaiatuba,11,69,136,0,7,540350,49123,50587,12.77,25.17,0,1.3
354890,São Carlos,11,94,234,0,13,522809,47528,47770,17.98,44.76,0,2.49
352900,Marília,11,54,892,0,43,504890,45899,46708,10.7,176.67,0,8.52
350320,Araraquara,11,43,453,0,35,485024,44093,45059,8.87,93.4,0,7.22
351570,Ferraz de Vasconcelos,11,36,241,1,15,468605,42600,39995,7.68,51.43,0.21,3.2
354140,Presidente Prudente,11,132,382,0,26,467308,42483,41662,28.25,81.74,0,5.56
350160,Americana,11,35,609,0,32,467185,42471,42612,7.49,130.36,0,6.85
351630,Francisco Morato,11,101,352,0,17,462578,42053,39603,21.83,76.1,0,3.68
354390,Rio Claro,11,24,487,0,38,423970,38543,37671,5.66,114.87,0,8.96
352220,Itapecerica da Serra,11,121,225,4,15,420879,38262,35245,28.75,53.46,0.95,3.56
350280,Araçatuba,11,230,382,1,38,404877,36807,36937,56.81,94.35,0.25,9.39
353800,Pindamonhangaba,11,21,417,0,30,388722,35338,34800,5.4,107.27,0,7.72
352390,Itu,11,46,118,0,7,388136,35285,34382,11.85,30.4,0,1.8
354580,Santa Bárbara d'Oeste,11,39,377,0,19,386450,35132,33492,10.09,97.55,0,4.92
352230,Itapetininga,11,20,15,0,0,374786,34071,32587,5.34,4,0,0
354730,Santana de Parnaíba,11,32,295,0,15,366793,33345,35624,8.72,80.43,0,4.09
350760,Bragança Paulista,11,53,275,0,14,365212,33201,33699,14.51,75.3,0,3.83
351640,Franco da Rocha,11,20,181,0,10,357762,32524,31169,5.59,50.59,0,2.8
350410,Atibaia,11,24,147,0,11,340410,30946,31959,7.05,43.18,0,3.23
353070,Mogi Guaçu,11,43,51,0,4,329683,29971,29877,13.04,15.47,0,1.21
350750,Botucatu,11,89,594,1,33,314891,28626,27934,28.26,188.64,0.32,10.48
351050,Caraguatatuba,11,37,321,0,19,313053,28459,29451,11.82,102.54,0,6.07
355700,Votorantim,11,25,114,0,7,296228,26930,26711,8.44,38.48,0,2.36
354880,São Caetano do Sul,11,31,63,0,2,295523,26866,27711,10.49,21.32,0,0.68
352500,Jandira,11,14,137,0,6,295472,26861,25157,4.74,46.37,0,2.03
351350,Cubatão,11,29,215,0,10,295184,26835,24099,9.82,72.84,0,3.39
354520,Salto,11,26,126,0,10,290551,26414,28044,8.95,43.37,0,3.44
355170,Sertãozinho,11,58,33,0,4,288498,26227,26202,20.1,11.44,0,1.39
