cod_ibge;nome_municipio;censo_total_estab;censo_estab_usou_agrotox;censo_pct_uso_agrotox;censo_valor_agrotox_mil;censo_n_estab_agrotox;pam_area_colhida_ha;pam_area_plantada_ha;pam_qtd_produzida;pam_valor_prod_mil_reais;sih_n_internacoes_intox;sih_n_internacoes_agrotox;sih_n_obitos_intox;sinan_n_notificacoes_intox;sinan_n_casos_contexto_agric;sisagua_n_amostras;sisagua_n_deteccoes_quant;sisagua_n_agrotox_detectados
355635;Vargem (SP);228;28;12,3;239,835;28;1469;1469;NA;16257;4;0;0;6;0;51;0;0
355640;Vargem Grande do Sul (SP);195;69;35,4;4087,325;69;12844;12844;NA;189187;7;0;1;76;1;217;90;27
355645;Vargem Grande Paulista (SP);53;31;58,5;229,440;31;NA;NA;NA;NA;9;0;1;34;0;767;0;0
355650;Várzea Paulista (SP);8;1;12,5;NA;1;NA;NA;NA;NA;5;0;0;26;0;976;11;10
355660;Vera Cruz (SP);264;146;55,3;3021,301;146;3436;3436;NA;27271;0;0;0;18;0;38;22;22
355670;Vinhedo (SP);85;50;58,8;380,510;50;164;164;NA;9356;4;0;0;48;0;3140;94;27
355680;Viradouro (SP);278;245;88,1;3670,510;245;16736;16736;NA;178018;3;0;0;27;2;54;2;2
355690;Vista Alegre do Alto (SP);111;97;87,4;5868,440;97;7525;7525;NA;108313;1;0;0;2;0;394;212;27
355695;Vitória Brasil (SP);109;50;45,9;946,531;50;1031;1031;NA;29567;0;0;0;1;0;93;0;0
355700;Votorantim (SP);53;6;11,3;420,225;6;841;841;NA;7750;19;0;0;89;0;810;32;6
355710;Votuporanga (SP);515;142;27,6;1414,287;142;12274;12274;NA;112382;18;0;0;211;0;310;1;1
355715;Zacarias (SP);156;57;36,5;1945,491;57;11189;11189;NA;150680;1;1;1;4;0;43;0;0
355720;Chavantes (SP);29;14;48,3;247,450;14;14147;14154;NA;136321;20;0;1;11;0;22;0;0
355730;Estiva Gerbi (SP);91;51;56,0;1811,256;51;2550;2550;NA;77828;1;0;0;12;0;176;176;22
